Season,Daynum
1985,20
1985,25
1985,25
1985,25
1985,25
1985,25
1985,25
1985,25
1985,25
1985,25
1985,25
1985,25
1985,25
1985,25
1985,25
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,26
1985,27
1985,27
1985,27
1985,27
1985,27
1985,27
1985,27
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,28
1985,29
1985,29
1985,29
1985,29
1985,29
1985,29
1985,29
1985,29
1985,29
1985,29
1985,29
1985,29
1985,29
1985,29
1985,29
1985,29
1985,29
1985,29
1985,29
1985,29
1985,30
1985,30
1985,30
1985,30
1985,30
1985,30
1985,30
1985,30
1985,30
1985,30
1985,30
1985,30
1985,30
1985,30
1985,30
1985,30
1985,30
1985,30
1985,30
1985,31
1985,31
1985,31
1985,31
1985,31
1985,31
1985,31
1985,31
1985,31
1985,31
1985,31
1985,31
1985,31
1985,31
1985,31
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,32
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
1985,33
