Unnamed: 0,USD2NTD,RMB2NTD,EUR2USD
2017/12/29,29.848000000000003,4.575787999999999,1.1956
2017/12/28,29.84,4.569966,1.1945
2017/12/27,29.94,4.568036,1.18705
2017/12/26,29.945,4.575117,1.1873
2017/12/25,29.968000000000004,4.5797099999999995,1.1875
2017/12/22,29.968000000000004,4.56116,1.18525
2017/12/21,29.988000000000003,4.562224,1.18755
2017/12/20,29.99,4.557519999999999,1.1840000000000002
2017/12/19,29.99,4.539046,1.18085
2017/12/18,30.006,4.5370870000000005,1.1779
2017/12/15,29.991999999999997,4.538599,1.17865
2017/12/14,30.006,4.539458,1.18245
2017/12/13,30.026,4.532845,1.1740000000000002
2017/12/12,30.018,4.531427,1.17775
2017/12/11,30.018,4.533619,1.1779
2017/12/8,30.015,4.532775,1.17435
2017/12/7,30.025,4.536477,1.1802
2017/12/6,30.01,4.534631,1.18275
2017/12/5,29.993000000000002,4.533802,1.186
2017/12/4,30.035999999999998,4.537328,1.186
2017/12/1,30.028000000000002,4.544798,1.19275
2017/11/30,30.01,4.5369720000000004,1.1859
2017/11/29,29.99,4.544505,1.1868
2017/11/28,30.000999999999998,4.544851,1.1904
2017/11/27,30.006,4.548369,1.19385
2017/11/24,30.01,4.544654,1.18445
2017/11/23,30.006999999999998,4.556413,1.1835
2017/11/22,30.02,4.5389040000000005,1.1766
2017/11/21,30.06,4.52388,1.1746
2017/11/20,30.101999999999997,4.534084,1.1772
2017/11/17,30.101,4.533903,1.1792
2017/11/16,30.158,4.543122,1.1779
2017/11/15,30.15,4.543273,1.1826
2017/11/14,30.18,4.538589,1.1688
2017/11/13,30.19,4.535715,1.16405
2017/11/10,30.171999999999997,4.53805,1.16275
2017/11/9,30.18,4.542783999999999,1.1603
2017/11/8,30.186999999999998,4.547732,1.1605
2017/11/7,30.17,4.549395,1.15875
2017/11/6,30.204,4.550987999999999,1.161
2017/11/3,30.171999999999997,4.554192,1.1647
2017/11/2,30.186,4.5694360000000005,1.16385
2017/11/1,30.175,4.560046,1.16465
2017/10/31,30.17,4.551175,1.1644
2017/10/30,30.205,4.542892,1.1627
2017/10/27,30.276999999999997,4.550936,1.1631
2017/10/26,30.229,4.554422,1.18175
2017/10/25,30.266,4.557151999999999,1.1767
2017/10/24,30.27,4.560932,1.1761
2017/10/23,30.261999999999997,4.557487,1.17545
2017/10/20,30.241,4.5675099999999995,1.1806
2017/10/19,30.23,4.56074,1.1795
2017/10/18,30.2,4.565213,1.1763
2017/10/17,30.205,4.569563,1.17735
2017/10/16,30.158,4.581694000000001,1.17905
2017/10/13,30.185,4.58815,1.1828
2017/10/12,30.213,4.588598999999999,1.1862
2017/10/11,30.232,4.597773,1.1840000000000002
2017/10/6,30.375999999999998,4.56451,1.16925
2017/10/5,30.35,4.56807,1.1774
2017/10/3,30.45,4.566647,1.17455
2017/10/2,30.413,4.555381,1.17425
2017/9/30,30.305,4.558781,1.1815
2017/9/29,30.336,4.563353,1.18025
2017/9/28,30.405,4.560568,1.1769
2017/9/27,30.303,4.568329,1.1749
2017/9/26,30.215999999999998,4.562556,1.1813
2017/9/25,30.171999999999997,4.565325,1.1908
2017/9/22,30.191,4.58864,1.1993
2017/9/21,30.208000000000002,4.582886,1.1909999999999998
2017/9/20,30.131999999999998,4.585488,1.20075
2017/9/19,30.136999999999997,4.5778099999999995,1.1998
2017/9/18,30.108,4.590266000000001,1.1929
2017/9/15,30.075,4.592152,1.19195
2017/9/14,30.105999999999998,4.591616999999999,1.1897
2017/9/13,30.055999999999997,4.605090000000001,1.19925
2017/9/12,30.03,4.591137000000001,1.197
2017/9/11,30.026,4.601394,1.20165
2017/9/8,30.006,4.634097,1.2049
2017/9/7,30.061999999999998,4.619808,1.19485
2017/9/6,30.105,4.606336,1.1944
2017/9/5,30.07,4.586457,1.1881
2017/9/4,30.101,4.608885,1.1896
2017/9/1,30.156,4.584315,1.1892
2017/8/31,30.203000000000003,4.574667,1.189
2017/8/30,30.156,4.576505,1.1947
2017/8/29,30.2,4.57376,1.20615
2017/8/28,30.162,4.547404,1.193
2017/8/25,30.25,4.541191,1.17845
2017/8/24,30.265,4.5452580000000005,1.1798
2017/8/23,30.29,4.544378,1.1782
2017/8/22,30.3,4.54703,1.1777
2017/8/21,30.328000000000003,4.539313,1.1744
2017/8/18,30.331999999999997,4.536788,1.1731
2017/8/17,30.311999999999998,4.537615,1.1738
2017/8/16,30.365,4.528818,1.17095
2017/8/15,30.316999999999997,4.532088,1.17545
2017/8/14,30.302,4.531482,1.17965
2017/8/11,30.358,4.543712,1.17575
2017/8/10,30.309,4.537742,1.1727
2017/8/9,30.218000000000004,4.513814,1.1729
2017/8/8,30.201,4.501821,1.1811
2017/8/7,30.234,4.494496,1.18075
2017/8/4,30.22,4.494439,1.18845
2017/8/3,30.226999999999997,4.491128,1.1836
2017/8/2,30.252,4.494993,1.1834
2017/8/1,30.256,4.500701,1.1825
2017/7/31,30.226999999999997,4.490977,1.1727
2017/7/28,30.302,4.494484,1.17065
2017/7/27,30.252,4.493208999999999,1.17195
2017/7/26,30.401999999999997,4.50129,1.1626
2017/7/25,30.36,4.498806,1.1659
2017/7/24,30.359,4.498111,1.1646
2017/7/21,30.451,4.503551,1.1642
2017/7/20,30.456999999999997,4.500814,1.1502
2017/7/19,30.397,4.4992730000000005,1.1518
2017/7/18,30.37,4.496096,1.1525
2017/7/17,30.419,4.493647,1.1443
2017/7/14,30.416999999999998,4.483861,1.1419
2017/7/13,30.385,4.480511,1.1412
2017/7/12,30.49,4.4904150000000005,1.1451
2017/7/11,30.593000000000004,4.4961,1.1396
2017/7/10,30.585,4.495353,1.1408
2017/7/7,30.61,4.500282,1.1415
2017/7/6,30.601,4.497429,1.13505
2017/7/5,30.509,4.487355,1.1357
2017/7/4,30.528000000000002,4.489356,1.1355
2017/7/3,30.428,4.480645,1.1383
2017/6/30,30.436,4.489858,1.14095
2017/6/29,30.37,4.475354,1.1418
2017/6/28,30.438000000000002,4.4737160000000005,1.1376
2017/6/27,30.340999999999998,4.450205,1.1236
2017/6/26,30.335,4.4307,1.11995
2017/6/23,30.4,4.446699,1.11855
2017/6/22,30.441999999999997,4.456526,1.11665
2017/6/21,30.471,4.460833,1.1129
2017/6/20,30.401,4.447271,1.1158
2017/6/19,30.361,4.450589,1.11945
2017/6/16,30.381,4.455677,1.1173
2017/6/15,30.247,4.455171,1.11905
2017/6/14,30.23,4.45173,1.121
2017/6/13,30.226999999999997,4.450714,1.1219
2017/6/12,30.176,4.440761,1.1222
2017/6/9,30.108,4.4333730000000005,1.1182
2017/6/8,30.105,4.442294,1.12595
2017/6/7,30.095,4.443256,1.126
2017/6/6,30.093000000000004,4.444014,1.1251
2017/6/5,30.09,4.436229,1.1266
2017/6/3,30.127,4.44551,1.1281
2017/6/2,30.116999999999997,4.436114,1.1222
2017/6/1,30.116999999999997,4.454244,1.12355
2017/5/31,30.101999999999997,4.438961,1.1179999999999999
2017/5/26,30.122,4.405132,1.1227
2017/5/25,30.084,4.384713,1.1241
2017/5/24,30.183000000000003,4.38719,1.1186
2017/5/23,30.166,4.384357,1.12495
2017/5/22,30.052,4.367577,1.1172
2017/5/19,30.21,4.386583,1.1138
2017/5/18,30.225,4.391118,1.1134
2017/5/17,30.14,4.380276,1.10945
2017/5/16,30.115,4.373421,1.1033
2017/5/15,30.158,4.372699,1.09395
2017/5/12,30.201,4.374645,1.08615
2017/5/11,30.215,4.374528,1.08865
2017/5/10,30.266,4.381064,1.08935
2017/5/9,30.258000000000003,4.378212,1.09215
2017/5/8,30.166,4.3687309999999995,1.0961
2017/5/5,30.182,4.372376,1.0976
2017/5/4,30.14,4.371506,1.0913
2017/5/3,30.072,4.364319,1.092
2017/5/2,30.061999999999998,4.360704,1.0908
2017/4/28,30.218000000000004,4.380311,1.0893
2017/4/27,30.156,4.3704790000000004,1.0914
2017/4/26,30.151,4.373101,1.0912
2017/4/25,30.151999999999997,4.3788540000000005,1.0889
